name	type	source	detector	wavelength_nominal	units
S1-D1-690.0	NIRSCWAMPLITUDE	S1	D1	690.0	AU
S1-D3-690.0	NIRSCWAMPLITUDE	S1	D3	690.0	AU
S1-D13-690.0	NIRSCWAMPLITUDE	S1	D13	690.0	AU
S2-D1-690.0	NIRSCWAMPLITUDE	S2	D1	690.0	AU
S2-D2-690.0	NIRSCWAMPLITUDE	S2	D2	690.0	AU
S2-D3-690.0	NIRSCWAMPLITUDE	S2	D3	690.0	AU
S2-D4-690.0	NIRSCWAMPLITUDE	S2	D4	690.0	AU
S2-D14-690.0	NIRSCWAMPLITUDE	S2	D14	690.0	AU
S3-D2-690.0	NIRSCWAMPLITUDE	S3	D2	690.0	AU
S3-D4-690.0	NIRSCWAMPLITUDE	S3	D4	690.0	AU
S3-D15-690.0	NIRSCWAMPLITUDE	S3	D15	690.0	AU
S4-D5-690.0	NIRSCWAMPLITUDE	S4	D5	690.0	AU
S4-D7-690.0	NIRSCWAMPLITUDE	S4	D7	690.0	AU
S4-D16-690.0	NIRSCWAMPLITUDE	S4	D16	690.0	AU
S5-D5-690.0	NIRSCWAMPLITUDE	S5	D5	690.0	AU
S5-D6-690.0	NIRSCWAMPLITUDE	S5	D6	690.0	AU
S5-D7-690.0	NIRSCWAMPLITUDE	S5	D7	690.0	AU
S5-D8-690.0	NIRSCWAMPLITUDE	S5	D8	690.0	AU
S5-D17-690.0	NIRSCWAMPLITUDE	S5	D17	690.0	AU
S6-D6-690.0	NIRSCWAMPLITUDE	S6	D6	690.0	AU
S6-D8-690.0	NIRSCWAMPLITUDE	S6	D8	690.0	AU
S6-D18-690.0	NIRSCWAMPLITUDE	S6	D18	690.0	AU
S7-D9-690.0	NIRSCWAMPLITUDE	S7	D9	690.0	AU
S7-D11-690.0	NIRSCWAMPLITUDE	S7	D11	690.0	AU
S7-D19-690.0	NIRSCWAMPLITUDE	S7	D19	690.0	AU
S8-D9-690.0	NIRSCWAMPLITUDE	S8	D9	690.0	AU
S8-D10-690.0	NIRSCWAMPLITUDE	S8	D10	690.0	AU
S8-D11-690.0	NIRSCWAMPLITUDE	S8	D11	690.0	AU
S8-D12-690.0	NIRSCWAMPLITUDE	S8	D12	690.0	AU
S8-D20-690.0	NIRSCWAMPLITUDE	S8	D20	690.0	AU
S9-D10-690.0	NIRSCWAMPLITUDE	S9	D10	690.0	AU
S9-D12-690.0	NIRSCWAMPLITUDE	S9	D12	690.0	AU
S9-D21-690.0	NIRSCWAMPLITUDE	S9	D21	690.0	AU
S1-D1-830.0	NIRSCWAMPLITUDE	S1	D1	830.0	AU
S1-D3-830.0	NIRSCWAMPLITUDE	S1	D3	830.0	AU
S1-D13-830.0	NIRSCWAMPLITUDE	S1	D13	830.0	AU
S2-D1-830.0	NIRSCWAMPLITUDE	S2	D1	830.0	AU
S2-D2-830.0	NIRSCWAMPLITUDE	S2	D2	830.0	AU
S2-D3-830.0	NIRSCWAMPLITUDE	S2	D3	830.0	AU
S2-D4-830.0	NIRSCWAMPLITUDE	S2	D4	830.0	AU
S2-D14-830.0	NIRSCWAMPLITUDE	S2	D14	830.0	AU
S3-D2-830.0	NIRSCWAMPLITUDE	S3	D2	830.0	AU
S3-D4-830.0	NIRSCWAMPLITUDE	S3	D4	830.0	AU
S3-D15-830.0	NIRSCWAMPLITUDE	S3	D15	830.0	AU
S4-D5-830.0	NIRSCWAMPLITUDE	S4	D5	830.0	AU
S4-D7-830.0	NIRSCWAMPLITUDE	S4	D7	830.0	AU
S4-D16-830.0	NIRSCWAMPLITUDE	S4	D16	830.0	AU
S5-D5-830.0	NIRSCWAMPLITUDE	S5	D5	830.0	AU
S5-D6-830.0	NIRSCWAMPLITUDE	S5	D6	830.0	AU
S5-D7-830.0	NIRSCWAMPLITUDE	S5	D7	830.0	AU
S5-D8-830.0	NIRSCWAMPLITUDE	S5	D8	830.0	AU
S5-D17-830.0	NIRSCWAMPLITUDE	S5	D17	830.0	AU
S6-D6-830.0	NIRSCWAMPLITUDE	S6	D6	830.0	AU
S6-D8-830.0	NIRSCWAMPLITUDE	S6	D8	830.0	AU
S6-D18-830.0	NIRSCWAMPLITUDE	S6	D18	830.0	AU
S7-D9-830.0	NIRSCWAMPLITUDE	S7	D9	830.0	AU
S7-D11-830.0	NIRSCWAMPLITUDE	S7	D11	830.0	AU
S7-D19-830.0	NIRSCWAMPLITUDE	S7	D19	830.0	AU
S8-D9-830.0	NIRSCWAMPLITUDE	S8	D9	830.0	AU
S8-D10-830.0	NIRSCWAMPLITUDE	S8	D10	830.0	AU
S8-D11-830.0	NIRSCWAMPLITUDE	S8	D11	830.0	AU
S8-D12-830.0	NIRSCWAMPLITUDE	S8	D12	830.0	AU
S8-D20-830.0	NIRSCWAMPLITUDE	S8	D20	830.0	AU
S9-D10-830.0	NIRSCWAMPLITUDE	S9	D10	830.0	AU
S9-D12-830.0	NIRSCWAMPLITUDE	S9	D12	830.0	AU
S9-D21-830.0	NIRSCWAMPLITUDE	S9	D21	830.0	AU
